1,85,82
2,85,82
2,86,82
55,7,82
56,2,82
56,3,82
56,4,82
56,5,82
57,4,82
57,5,82
56,1,80
56,2,80
56,5,80
56,6,80
56,7,80
56,14,80
57,3,80
57,4,80
57,5,80
58,7,80
79,84,80
81,83,80
82,82,80
84,81,80
85,79,80
85,80,80
56,1,79
56,3,79
56,5,79
56,6,79
56,7,79
57,2,79
57,3,79
57,4,79
57,6,79
57,7,79
79,85,79
81,83,79
82,82,79
83,80,79
84,80,79
85,79,79
85,80,79
56,5,78
56,6,78
57,6,78
57,7,78
81,82,78
85,80,78
56,5,77
56,6,77
57,5,77
57,6,77
57,7,77
57,8,77
57,9,77
58,12,77
79,85,77
80,84,77
81,82,77
82,82,77
83,82,77
84,80,77
84,81,77
56,5,76
56,6,76
57,5,76
57,6,76
57,7,76
57,8,76
57,9,76
57,11,76
58,10,76
58,11,76
78,87,76
80,83,76
80,84,76
80,85,76
81,81,76
81,82,76
81,83,76
81,84,76
82,82,76
82,83,76
83,79,76
83,80,76
83,81,76
83,82,76
84,79,76
84,80,76
84,81,76
85,79,76
85,80,76
86,79,76
87,79,76
56,6,75
57,5,75
57,6,75
57,8,75
57,9,75
57,11,75
57,12,75
58,12,75
78,80,75
79,86,75
80,82,75
80,83,75
80,84,75
81,80,75
81,82,75
81,83,75
81,84,75
82,82,75
83,80,75
83,81,75
83,82,75
84,80,75
84,81,75
84,82,75
86,79,75
57,5,74
57,8,74
57,9,74
57,10,74
57,11,74
57,12,74
58,12,74
79,87,74
80,79,74
80,81,74
80,82,74
81,80,74
81,83,74
81,84,74
82,79,74
82,80,74
82,82,74
82,83,74
83,79,74
83,80,74
83,81,74
83,82,74
84,80,74
84,81,74
85,79,74
85,80,74
87,80,74
88,79,74
57,11,73
57,12,73
57,13,73
58,12,73
81,79,73
81,80,73
81,81,73
82,80,73
82,81,73
82,82,73
82,83,73
83,78,73
83,79,73
83,80,73
83,81,73
83,82,73
84,80,73
84,81,73
84,82,73
87,79,73
87,80,73
57,12,72
57,13,72
80,80,72
80,82,72
81,81,72
82,80,72
82,81,72
82,82,72
82,83,72
83,81,72
83,82,72
83,83,72
81,80,71
81,81,71
82,80,71
82,81,71
82,82,71
83,81,71
83,82,71
83,83,71
57,12,70
80,78,70
80,79,70
80,80,70
81,78,70
81,79,70
81,80,70
81,81,70
81,82,70
82,79,70
82,80,70
82,81,70
82,82,70
82,83,70
83,80,70
83,81,70
83,82,70
83,83,70
84,80,70
84,82,70
80,77,69
80,78,69
80,80,69
81,78,69
81,79,69
81,80,69
81,81,69
82,79,69
82,80,69
82,81,69
82,82,69
82,83,69
83,80,69
83,81,69
83,82,69
83,83,69
79,77,68
80,77,68
80,78,68
80,79,68
80,80,68
80,81,68
81,78,68
81,79,68
81,80,68
81,81,68
82,80,68
82,81,68
82,82,68
83,79,68
83,82,68
84,83,68
58,18,67
79,77,67
80,78,67
80,79,67
80,80,67
80,81,67
81,78,67
